Student Checking Account, No Monthly Fee Student Checking Account,07,
Student Checking Account, Get account with no minimum opening deposit or balance requirements,08,
Student Checking Account, Get one free overdraft fee refunded every year!,09,
Advanced Investment Account, Get one year of free premium investment account service,04,
Advanced Investment Account, We would glad to pick the perfect investment options for your personal circumstances,05,
Advanced Investment Account, Use our powerful mobile app to manage your assets anywhere and any time,06,
Platinum Credit Card, Get 15% back with CapBank platinum credit card,02,"Hi John,

We have a exciting offer for you. You are eligible for a new Travel Rewards  Credit Card with 0% APR.

Benefits:

- Earn unlimited 1.5 points for every $1 you spend on all purchases and points don't expire
- 0% Intro APR on purchases
- No annual fee. No blackout dates - any airline, any hotel, any time
- Get a 10% customer points bonus on every purchase when you have an active CapBank checking or savings account

Reach out to us at 1800-999-9999 for more details.

Regards

CapBank"
Platinum Credit Card, Platinum card with 0% APR,01,"Hi John,

We have a exciting offer for you. You are eligible for a new Travel Rewards  Credit Card with 0% APR.

Benefits:

- Earn unlimited 1.5 points for every $1 you spend on all purchases and points don't expire
- 0% Intro APR on purchases
- No annual fee. No blackout dates - any airline, any hotel, any time
- Get a 10% customer points bonus on every purchase when you have an active CapBank checking or savings account

Reach out to us at 1800-999-9999 for more details.

Regards

CapBank"
Platinum Credit Card, Get Super Airways co-branded platinum credit card,03,"Hi John,

We have a exciting offer for you. You are eligible for a new Travel Rewards  Credit Card with 0% APR.

Benefits:

- Earn unlimited 1.5 points for every $1 you spend on all purchases and points don't expire
- 0% Intro APR on purchases
- No annual fee. No blackout dates - any airline, any hotel, any time
- Get a 10% customer points bonus on every purchase when you have an active CapBank checking or savings account

Reach out to us at 1800-999-9999 for more details.

Regards

CapBank"
Shopper Rewarding System, Get grocery discounts with our exclusive program,10,
Shopper Rewarding System, Earn miles with your usual shopping,11,
Shopper Rewarding System, Receive exclusive offers from our partner network,12,
